Titles,Type,Episodes,Episode duration,Year,Demographic,Genres,Theme,Studio,Source,Members,Score
Ajin,TV,13 eps,24 min ,2016,Seinen,"Action,Horror,Mystery,Supernatural",Gore,Polygon Pictures,Manga,559K,7.4
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,TV,12 eps,23 min ,2019,,"Action,Adventure,Comedy,Fantasy",Isekai,White Fox,Light novel,558K,7.49
Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,TV,10 eps,23 min ,2013,,"Action,Comedy,Fantasy",Isekai,Diomedéa,Light novel,557K,7.46
The Last: Naruto the Movie,Movie,1 ep,112 min ,2014,Shounen,"Action,Adventure,Fantasy,Romance",,Pierrot,Manga,557K,7.78
Kimetsu no Yaiba: Mugen Ressha-hen,TV,7 eps,24 min ,2021,Shounen,"Action,Fantasy",Historical,ufotable,Manga,554K,8.38
Hunter x Hunter,TV,62 eps,23 min ,1999,Shounen,"Action,Adventure,Fantasy",,Nippon Animation,Manga,550K,8.41
Sword Art Online: Alicization - War of Underworld 2nd Season,TV,11 eps,24 min ,2020,,"Action,Adventure,Fantasy",Video Game,A-1 Pictures,Light novel,549K,7.47
Bungou Stray Dogs 3rd Season,TV,12 eps,23 min ,2019,Seinen,"Action,Mystery,Supernatural",Adult Cast,Bones,Manga,548K,8.22
Gangsta.,TV,12 eps,23 min ,2015,Seinen,"Action,Drama",Adult Cast,Manglobe,Manga,544K,7.41
Kuroshitsuji II,TV,12 eps,24 min ,2010,Shounen,"Action,Comedy,Supernatural",Historical,A-1 Pictures,Manga,538K,7.15
Katekyo Hitman Reborn!,TV,203 eps,24 min ,2006,Shounen,"Action,Comedy",Organized Crime,Artland,Manga,536K,8.14
Katanagatari,TV,12 eps,50 min ,2010,,"Action,Adventure,Romance",Historical,White Fox,Light novel,535K,8.32
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,TV,12 eps,24 min ,2020,,"Action,Adventure,Fantasy",,J.C.Staff,Light novel,531K,7.46
Kenja no Mago,TV,12 eps,23 min ,2019,,"Action,Comedy,Fantasy,Romance",Isekai,SILVER LINK.,Light novel,530K,6.61
Drifters,TV,12 eps,23 min ,2016,Seinen,"Action,Adventure,Comedy,Fantasy",Adult Cast,Hoods Drifters Studio,Manga,528K,7.9
Absolute Duo,TV,12 eps,24 min ,2015,,"Action,Romance,Supernatural,Ecchi",Harem,8bit,Light novel,527K,6.44
God Eater,TV,13 eps,23 min ,2015,,"Action,Fantasy,Sci-Fi",Military,ufotable,Game,522K,7.21
Evangelion: 1.0 You Are (Not) Alone,Movie,1 ep,101 min ,2007,,"Action,Award Winning,Drama,Sci-Fi",Mecha,Khara,Original,522K,8.01
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",TV,12 eps,23 min ,2016,,"Action,Adventure,Fantasy",Isekai,A-1 Pictures,Light novel,519K,7.72
Shakugan no Shana,TV,24 eps,24 min ,2005,,"Action,Drama,Fantasy,Romance",Mahou Shoujo,J.C.Staff,Light novel,519K,7.46
Boku no Hero Academia the Movie 2: Heroes:Rising,Movie,1 ep,104 min ,2019,Shounen,Action,Super Power,Bones,Manga,514K,7.99
Musaigen no Phantom World,TV,13 eps,24 min ,2016,,"Action,Comedy,Fantasy,Ecchi",Harem,Kyoto Animation,Light novel,512K,6.86
Gintama',TV,51 eps,24 min ,2011,Shounen,"Action,Comedy,Sci-Fi",Gag Humor,Sunrise,Manga,507K,9.04
Darwin's Game,TV,11 eps,26 min ,2020,Shounen,"Action,Mystery,Sci-Fi",High Stakes Game,Nexus,Manga,505K,7.24
